  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:58:38      1.78      1.98
21:58:39      1.89      1.55
21:58:40      2.09      2.30
21:58:41      1.84      1.96
21:58:42      1.78      1.69
21:58:43      1.61      1.93
21:58:44      1.69      2.02
21:58:45      1.95      1.89
21:58:46      1.74      1.96
21:58:47      1.89      2.21
21:58:48      1.91      2.13
21:58:49      1.68      2.12
21:58:50      2.24      2.47
21:58:51      2.09      2.04
21:58:52      1.50      1.83
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:58:53      1.83      2.22
21:58:54      1.75      1.83
21:58:55      1.46      1.88
21:58:56      2.08      2.00
21:58:57      1.77      2.14
21:58:58      1.53      1.99
21:58:59      1.90      2.22
21:59:00      1.66      2.00
21:59:01      1.77      1.92
21:59:02      1.81      2.00
21:59:03      1.53      1.78
21:59:04      2.03      1.97
21:59:05      1.91      2.18
21:59:06      1.78      1.80
21:59:07      2.07      2.53
21:59:08      2.02      1.82
21:59:09      1.89      1.95
21:59:10      1.79      2.14
21:59:11      2.05      1.71
21:59:12      2.04      2.17
21:59:13      1.45      1.58
21:59:14      2.52      2.16
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:59:15      1.49      1.69
21:59:16      2.32      2.58
21:59:17      1.68      1.89
21:59:18      1.76      1.87
21:59:19      1.83      1.86
21:59:20      1.74      2.11
21:59:21      1.83      1.83
21:59:22      1.85      1.99
21:59:23      1.78      2.07
21:59:24      1.58      1.66
21:59:25      1.62      1.80
21:59:26      2.04      1.87
21:59:27      1.56      1.74
21:59:28      2.15      2.45
21:59:29      1.62      1.87
21:59:30      1.86      2.15
21:59:31      1.55      1.79
21:59:32      1.65      1.75
21:59:33      1.95      2.26
21:59:34      2.02      1.90
21:59:35      1.63      1.63
21:59:36      1.81      1.97
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:59:37      1.86      1.88
21:59:38      2.15      2.30
21:59:39      1.11      1.51
21:59:40      2.08      1.90
21:59:41      1.84      2.10
21:59:42      1.98      2.00
21:59:43      2.28      2.34
21:59:44      1.50      1.62
21:59:45      1.83      2.13
21:59:46      2.10      2.21
21:59:47      1.68      1.65
21:59:48      2.27      2.46
21:59:49      1.14      1.62
21:59:50      1.61      1.89
21:59:51      1.32      1.51
21:59:52      1.66      2.06
21:59:53      2.02      2.15
21:59:54      1.82      2.00
21:59:55      1.91      2.21
21:59:56      1.86      2.18
21:59:57      1.35      1.75
21:59:58      1.94      2.10
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
21:59:59      1.91      2.21
22:00:00      1.31      1.45
22:00:01      2.13      2.29
22:00:02      1.53      2.00
22:00:03      1.90      2.19
22:00:04      1.75      1.74
22:00:05      1.69      1.80
22:00:06      1.71      1.53
22:00:07      1.77      1.99
22:00:08      1.63      1.72
22:00:09      2.39      2.08
22:00:10      1.88      2.15
22:00:11      1.84      2.10
22:00:12      2.11      2.03
22:00:13      1.63      1.87
22:00:14      1.95      2.04
22:00:15      1.32      1.72
22:00:16      2.25      2.21
22:00:17      1.48      1.71
22:00:18      1.87      2.04
22:00:19      1.83      1.86
22:00:20      1.96      2.30
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:00:21      1.96      2.18
22:00:22      1.53      1.65
22:00:23      1.77      2.27
22:00:24      1.58      1.83
22:00:25      1.50      1.71
22:00:26      2.09      2.28
22:00:27      2.08      2.24
22:00:28      1.65      2.07
22:00:29      1.49      1.68
22:00:30      1.97      2.19
22:00:31      1.97      2.17
22:00:32      1.85      1.95
22:00:33      1.55      1.66
22:00:34      2.03      2.55
22:00:35      1.89      1.72
22:00:36      2.40      2.45
22:00:37      1.50      1.88
22:00:38      2.15      1.94
22:00:39      1.67      2.11
22:00:40      1.96      2.13
22:00:41      2.29      2.21
22:00:42      1.36      1.44
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:00:43      1.52      1.95
22:00:44      2.02      2.05
22:00:45      1.13      1.56
22:00:46      2.17      2.38
22:00:47      1.60      1.88
22:00:48      2.21      2.47
22:00:49      1.56      1.72
22:00:50      2.10      2.30
22:00:51      1.53      1.79
22:00:52      2.25      2.47
22:00:53      1.76      2.22
22:00:54      1.74      1.99
22:00:55      1.47      1.89
22:00:56      2.03      2.13
22:00:57      1.88      1.94
22:00:58      1.87      2.14
22:00:59      1.83      2.19
22:01:00      1.74      1.99
22:01:01      2.05      2.42
22:01:02      1.42      1.44
22:01:03      1.68      2.11
22:01:04      1.99      2.00
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:01:05      1.36      1.51
22:01:06      2.25      2.45
22:01:07      2.02      1.80
22:01:08      2.15      2.47
22:01:09      1.17      1.31
22:01:10      2.12      1.79
22:01:11      1.88      2.18
22:01:12      2.08      2.14
22:01:13      1.72      2.19
22:01:14      1.83      1.99
22:01:15      1.62      1.89
22:01:16      1.89      1.79
22:01:17      1.70      2.07
22:01:18      2.03      2.21
22:01:19      1.19      1.34
22:01:20      2.09      2.18
22:01:21      1.75      2.05
22:01:22      2.03      2.29
22:01:23      1.45      1.85
22:01:24      1.88      1.89
22:01:25      1.23      1.35
22:01:26      2.05      2.29
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:01:27      1.86      2.23
22:01:28      1.87      1.87
22:01:29      1.64      1.91
22:01:30      1.88      2.05
22:01:31      1.40      1.65
22:01:32      1.49      1.59
22:01:33      2.05      2.06
22:01:34      1.88      2.05
22:01:35      1.62      1.68
22:01:36      2.19      2.04
22:01:37      1.86      2.20
22:01:38      1.74      2.00
22:01:39      1.99      2.02
22:01:40      1.67      1.82
22:01:41      2.25      2.48
22:01:42      1.96      1.90
22:01:43      1.45      1.88
22:01:44      1.74      1.82
22:01:45      1.77      2.20
22:01:46      2.03      1.95
22:01:47      1.87      1.98
22:01:48      1.86      2.14
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:01:49      1.42      1.75
22:01:50      1.82      1.90
22:01:51      1.55      1.77
22:01:52      1.82      1.99
22:01:53      1.54      2.05
22:01:54      1.89      2.00
22:01:55      1.32      1.50
22:01:56      2.04      2.44
22:01:57      1.55      1.57
22:01:58      1.67      2.00
22:01:59      1.49      1.92
22:02:00      2.14      2.05
22:02:01      1.65      1.77
22:02:02      2.48      2.04
22:02:03      1.39      1.72
22:02:04      1.78      1.97
22:02:05      1.94      1.63
22:02:06      2.09      2.19
22:02:07      1.93      1.99
22:02:08      2.05      2.00
22:02:09      1.41      1.48
22:02:10      1.87      1.73
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:02:11      1.91      2.19
22:02:12      2.38      2.23
22:02:13      1.38      1.44
22:02:14      1.86      1.99
22:02:15      1.49      1.48
22:02:16      1.83      2.14
22:02:17      1.38      1.72
22:02:18      2.09      2.45
22:02:19      1.71      1.63
22:02:20      1.82      2.05
22:02:21      1.84      2.31
22:02:22      1.86      1.72
22:02:23      1.62      1.88
22:02:24      2.08      2.30
22:02:25      1.77      1.81
22:02:26      1.94      1.78
22:02:27      1.90      1.80
22:02:28      1.80      1.88
22:02:29      1.32      1.55
22:02:30      1.66      1.84
22:02:31      2.16      2.15
22:02:32      2.02      2.00
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:02:33      1.40      1.72
22:02:34      2.21      1.90
22:02:35      1.75      2.05
22:02:36      2.32      2.21
22:02:37      1.94      1.89
22:02:38      1.64      1.72
22:02:39      1.83      2.02
22:02:40      1.60      1.58
22:02:41      2.12      2.16
22:02:42      1.79      2.04
22:02:43      1.83      2.11
22:02:44      1.80      2.00
22:02:45      1.90      2.21
22:02:46      1.74      1.85
22:02:47      1.89      2.22
22:02:48      2.03      2.30
22:02:49      1.71      2.06
22:02:50      1.67      1.75
22:02:51      1.58      1.99
22:02:52      1.52      1.89
22:02:53      1.23      1.78
22:02:54      1.89      2.19
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:02:55      1.25      1.33
22:02:56      2.04      1.94
22:02:57      1.54      1.64
22:02:58      1.90      1.89
22:02:59      1.32      1.46
22:03:00      2.38      1.92
22:03:01      1.64      1.81
22:03:02      1.81      1.76
22:03:03      2.17      2.20
22:03:04      1.56      1.83
22:03:05      1.67      1.78
22:03:06      2.39      2.10
22:03:07      1.65      1.97
22:03:08      1.94      2.01
22:03:09      1.67      1.77
22:03:10      1.80      1.77
22:03:11      1.59      1.86
22:03:12      2.07      2.35
22:03:13      1.68      2.02
22:03:14      1.69      1.74
22:03:15      1.56      1.63
22:03:16      1.77      1.78
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:03:17      1.62      1.85
22:03:18      1.78      1.90
22:03:19      1.70      2.05
22:03:20      2.02      1.89
22:03:21      1.67      1.66
22:03:22      1.82      1.99
22:03:23      1.89      1.92
22:03:24      1.87      1.86
22:03:25      1.68      1.85
22:03:26      2.11      2.43
22:03:27      1.90      2.21
22:03:28      1.81      1.77
22:03:29      2.30      2.03
22:03:30      2.15      2.06
22:03:31      1.82      2.08
22:03:32      2.21      2.15
22:03:33      1.34      1.64
22:03:34      2.08      2.15
22:03:35      1.99      1.86
22:03:36      1.82      1.85
22:03:37      1.67      1.96
22:03:38      2.04      2.05
  Time           ens2       
HH:MM:SS   KB/s in  KB/s out
22:03:39      1.38      1.72
