procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10513    151   4603    0    0     0     4  807  618 45  1 54  0  0 2025-09-16 21:51:56
 4  0      0  10513    151   4603    0    0     0    20  823  641 48  0 51  0  0 2025-09-16 21:51:57
 3  0      0  10512    151   4603    0    0     0     0  821  637 48  0 52  0  0 2025-09-16 21:51:58
 2  0      0  10512    151   4604    0    0     0     0  763  478 49  0 51  0  0 2025-09-16 21:51:59
 3  0      0  10512    151   4604    0    0     0     0  862  602 49  1 50  0  0 2025-09-16 21:52:00
 2  0      0  10512    151   4604    0    0     0  5396  910  750 48  1 51  0  0 2025-09-16 21:52:01
 2  0      0  10512    151   4604    0    0     0    48  802  638 48  1 52  0  0 2025-09-16 21:52:02
 3  0      0  10512    151   4604    0    0     0     0  789  482 50  0 50  0  0 2025-09-16 21:52:03
 3  0      0  10512    151   4604    0    0     0     0  797  607 48  1 52  0  0 2025-09-16 21:52:04
 2  0      0  10511    151   4605    0    0     0     0  848  685 48  1 52  0  0 2025-09-16 21:52:05
 4  0      0  10511    151   4605    0    0     0     8  872  635 48  0 52  0  0 2025-09-16 21:52:06
 3  0      0  10511    151   4605    0    0     0    28  855  716 48  0 52  0  0 2025-09-16 21:52:07
 3  0      0  10511    151   4605    0    0     0     0  800  558 49  0 51  0  0 2025-09-16 21:52:08
 2  0      0  10511    151   4605    0    0     0     0  798  512 49  0 50  0  0 2025-09-16 21:52:09
 3  0      0  10510    151   4605    0    0     0     0  883  648 50  1 49  0  0 2025-09-16 21:52:10
 2  0      0  10510    151   4605    0    0     0    28  894  701 47  1 52  0  0 2025-09-16 21:52:11
 2  0      0  10510    151   4606    0    0     0    20  811  614 48  0 52  0  0 2025-09-16 21:52:12
 2  0      0  10510    151   4606    0    0     0     0  823  582 49  0 51  0  0 2025-09-16 21:52:13
 2  0      0  10510    151   4606    0    0     0     0  791  548 48  0 52  0  0 2025-09-16 21:52:14
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10509    151   4606    0    0     0     0  818  635 43  1 56  0  0 2025-09-16 21:52:15
 2  0      0  10509    151   4607    0    0     0     0  836  595 48  1 51  0  0 2025-09-16 21:52:16
 2  0      0  10509    151   4607    0    0     0    20  862  716 47  0 53  0  0 2025-09-16 21:52:17
 3  0      0  10509    151   4607    0    0     0     0  849  614 48  1 52  0  0 2025-09-16 21:52:18
 3  0      0  10509    151   4607    0    0     0     0  835  631 48  0 51  0  0 2025-09-16 21:52:19
 2  0      0  10508    151   4607    0    0     0     0  835  648 48  1 51  0  0 2025-09-16 21:52:20
 2  0      0  10508    151   4607    0    0     0     0  848  677 47  1 52  0  0 2025-09-16 21:52:21
 3  0      0  10508    151   4608    0    0     0    20  867  712 47  0 53  0  0 2025-09-16 21:52:22
 3  0      0  10508    151   4608    0    0     0     0  843  630 48  1 51  0  0 2025-09-16 21:52:23
 2  0      0  10508    151   4608    0    0     0     0  844  729 47  0 53  0  0 2025-09-16 21:52:24
 2  0      0  10508    151   4608    0    0     0     0  913  800 48  1 52  0  0 2025-09-16 21:52:25
 2  0      0  10508    151   4608    0    0     0     4  826  710 48  1 52  0  0 2025-09-16 21:52:26
 2  0      0  10507    151   4608    0    0     0    20  921  908 44  0 55  0  0 2025-09-16 21:52:27
 4  0      0  10507    151   4608    0    0     0     0  809  624 47  1 53  0  0 2025-09-16 21:52:28
 3  0      0  10507    151   4609    0    0     0     0  804  615 47  1 53  0  0 2025-09-16 21:52:29
 2  0      0  10507    151   4609    0    0     0     0  846  645 47  1 51  0  0 2025-09-16 21:52:30
 2  0      0  10507    151   4609    0    0     0  4896  847  697 46  1 53  0  0 2025-09-16 21:52:31
 2  0      0  10507    151   4609    0    0     0    52  799  559 48  1 52  0  0 2025-09-16 21:52:32
 3  0      0  10506    151   4609    0    0     0     0  830  592 47  1 52  0  0 2025-09-16 21:52:33
 2  0      0  10506    151   4609    0    0     0     0  757  423 50  0 50  0  0 2025-09-16 21:52:34
 3  0      0  10506    151   4610    0    0     0     0  871  701 48  1 51  0  0 2025-09-16 21:52:35
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0  10506    151   4610    0    0     0     0  860  582 50  1 50  0  0 2025-09-16 21:52:36
 2  0      0  10506    151   4610    0    0     0    20  855  626 48  0 52  0  0 2025-09-16 21:52:37
 4  0      0  10506    151   4610    0    0     0     0  827  592 47  0 52  0  0 2025-09-16 21:52:38
 3  0      0  10505    151   4611    0    0     0     0  881  799 46  0 54  0  0 2025-09-16 21:52:39
 2  0      0  10505    151   4611    0    0     0     0  849  673 47  1 52  0  0 2025-09-16 21:52:40
 3  0      0  10505    151   4611    0    0     0     0  908  793 46  1 53  0  0 2025-09-16 21:52:41
 2  0      0  10505    151   4611    0    0     0    20  813  560 48  0 51  0  0 2025-09-16 21:52:42
 2  0      0  10505    151   4611    0    0     0     0  818  581 48  1 51  0  0 2025-09-16 21:52:43
 1  0      0  10504    151   4611    0    0     0     0  827  640 48  0 52  0  0 2025-09-16 21:52:44
 2  0      0  10504    151   4611    0    0     0     0  886  704 48  1 51  0  0 2025-09-16 21:52:45
